Word frequencies in bible.txt
word     frequency
fins     5
scales     10
eagle     23
ossifrage     2
ospray     2
vulture     2
kite     2
owl     10
hawk     5
cuckow     2
cormorant     4
swan     2
pelican     3
gier     2
stork     5
heron     2
lapwing     2
bat     2
creep     7
flying     11
bald     14
beetle     1
grasshopper     3
beareth     25
paws     1
weasel     1
mouse     2
tortoise     1
ferret     1
chameleon     1
lizard     1
snail     2
mole     1
cleansed     39
whereinto     3
drunk     28
whereupon     17
ranges     2
sowing     2
defile     38
separation     26
infirmity     10
purifying     12
turtles     3
rising     39
scab     7
bright     29
spot     25
leprosy     35
deeper     9
cleansing     10
spreadeth     14
quick     10
wheresoever     10
looketh     33
appeareth     10
reddish     6
burneth     18
inflammation     2
beard     16
yellow     4
scall     14
black     18
shaven     7
shave     14
spots     6
darkish     1
freckled     1
leper     13
lip     3
woollen     6
warp     9
woof     9
greenish     2
fretting     3
colour     14
fret     7
washing     10
spreading     4
cedar     49
running     25
eyebrows     1
deals     19
log     5
pertaineth     7
owneth     2
seemeth     28
walls     64
scraped     2
scrape     3
plaister     7
plaistered     2
bathe     18
spit     11
saddle     4
soever     16
rideth     7
copulation     3
attired     1
scapegoat     4
coals     26
sins     160
reconciling     3
iniquities     56
fit     9
killeth     23
devils     55
hunteth     1
catcheth     3
doings     51
approach     19
kin     8
kinswoman     3
aunt     1
kinswomen     1
carnally     4
molech     7
profane     33
mankind     6
womankind     1
confusion     26
vomiteth     1
abominations     72
spue     4
spued     1
customs     7
idols     98
profaned     15
reap     31
gleanings     1
glean     10
grape     8
defraud     5
rob     8
stumblingblock     11
unrighteousness     21
honor     1
talebearer     6
rebuke     45
avenge     16
grudge     3
gender     2
diverse     8
bondmaid     2
freedom     2
scourged     4
enchantment     3
mar     5
cuttings     3
print     4
marks     2
prostitute     1
whore     14
reverence     13
familiar     16
spirits     44
wizards     7
hoary     4
dwelleth     58
meteyard     1
balances     10
weights     6
family     123
turneth     33
committeth     19
adulterer     3
adulteress     4
uncovereth     3
uncles     7
manners     5
floweth     12
severed     3
wizard     2
baldness     9
playing     7
profaneth     1
virginity     9
divorced     4
lame     27
flat     4
nose     11
superfluous     3
brokenfooted     1
brokenhanded     1
crookbackt     1
dwarf     1
scurvy     2
scabbed     2
sanctuaries     5
unless     8
unwittingly     3
vows     30
freewill     17
beeves     7
acceptable     23
accomplish     13
maimed     7
wen     1
bruised     8
crushed     7
corruption     20
blemishes     2
thenceforth     4
cow     6
feasts     32
convocations     3
servile     12
parched     9
complete     3
loaves     31
riddance     2
reapest     2
gleaning     5
blowing     4
trumpets     48
ninth     30
celebrate     3
tabernacles     30
solemn     28
boughs     18
willows     5
rejoice     194
israelitish     3
blasphemed     14
shelomith     9
dibri     1
blasphemeth     5
prune     2
its     1
accord     16
undressed     2
jubile     22
fiftieth     2
liberty     27
buyest     2
price     33
fewness     1
godfor     1
safety     19
sojourners     3
grant     22
redemption     20
sale     3
overplus     1
walled     4
suburbs     114
decay     1
relieve     7
compel     5
bondservant     1
bondmaids     2
heathen     145
stock     8
reckon     8
yearly     9
threshing     9
vintage     10
safely     21
chase     6
flight     8
abhor     19
despise     37
consumption     5
ague     1
pursueth     8
punish     32
pride     49
contrary     24
reformed     1
quarrel     3
chastise     10
waste     63
desolation     45
odours     7
astonished     34
enjoy     14
faintness     1
shaken     21
fleeing     3
pine     8
humbled     27
ancestors     1
singular     1
poorer     1
value     7
ability     7
alter     4
valuest     1
estimate     2
homer     11
valued     4
assured     3
devoted     7
estimations     1
devote     1
tithe     14
search     47
polls     6
elizur     5
shedeur     5
shelumiel     5
zurishaddai     5
nahshon     9
nethaneel     14
zuar     5
eliab     20
helon     5
elishama     16
ammihud     10
gamaliel     7
pedahzur     5
abidan     5
gideoni     5
ahiezer     6
ammishaddai     5
pagiel     5
ocran     5
eliasaph     6
deuel     4
ahira     5
enan     5
renowned     4
expressed     6
pedigrees     1
setteth     22
standard     18
ensign     8
standards     3
hindmost     3
camps     7
ministered     36
shimei     42
izehar     1
mahli     11
libnites     2
shimites     1
gershonites     9
lael     1
amramites     2
izeharites     1
hebronites     6
uzzielites     2
kohathites     15
elizaphan     4
mahlites     2
mushites     2
zuriel     1
abihail     6
custody     5
serveth     9
apiece     8
poll     3
odd     1
cloth     17
ministry     22
censers     8
appointment     4
entereth     20
recompense     26
kinsman     16
recompensed     10
close     11
jealousy     34
causeth     32
lain     6
cursing     12
rot     5
swell     4
amen     78
curses     8
jealousies     1
nazarite     9
vinegar     13
liquor     2
moist     1
kernels     1
husk     1
razor     7
separateth     5
locks     15
suddenly     41
shine     32
fully     13
wagon     1
belonging     5
dedicating     2
charger     17
bowl     17
spoon     12
eleventh     18
twelfth     20
dedication     10
chargers     3
weighing     2
lightest     1
belongeth     19
waiting     8
rites     1
ceremonies     1
forbeareth     2
appearance     38
remaining     13
calling     24
journeying     3
assemble     20
alarm     10
oppresseth     5
gladness     47
beginnings     4
rereward     6
journeyings     2
hobab     2
raguel     1
midianite     1
resting     4
complained     2
quenched     16
taberah     2
mixt     1
lusting     1
cucumbers     2
melons     1
leeks     1
onions     1
garlick     1
mills     1
mortar     2
fresh     4
layest     2
nursing     3
sucking     5
wretchedness     1
talk     23
loathsome     4
footmen     11
suffice     7
short     12
prophesied     50
eldad     2
medad     2
prophesy     90
enviest     1
prophets     221
homers     1
chewed     1
kibrothhattaavah     5
lusted     4
hazeroth     6
ethiopian     8
meek     17
faithful     82
apparently     1
speeches     7
similitude     11
alas     17
heal     38
shammua     4
zaccur     8
shaphat     6
caleb     32
jephunneh     16
igal     2
oshea     2
palti     1
raphu     1
gaddiel     1
sodi     1
gaddi     1
susi     1
ammiel     6
gemalli     1
sethur     1
michael     15
nahbi     1
vophsi     1
geuel     1
machi     1
spy     11
jehoshua     1
weak     46
holds     20
courage     20
firstripe     4
zin     10
rehob     10
hamath     26
ahiman     4
sheshai     3
talmai     6
anak     9
zoan     7
cluster     5
figs     24
searching     5
stilled     2
stature     17
grasshoppers     7
rebel     14
defence     22
disinherit     1
standeth     30
clearing     2
pardoned     3
miracles     27
provoked     31
tomorrow     1
doubtless     7
whoredoms     31
wasted     16
promise     53
slander     3
sayings     31
transgress     14
presumed     1
hormah     9
performing     2
preparest     3
henceforward     2
sinneth     22
ignorantly     4
reproacheth     7
sticks     6
bid     14
fringes     2
fringe     2
ribband     1
dathan     10
abiram     11
peleth     2
famous     10
vineyards     42
visitation     15
swallow     23
appertain     2
appertained     3
perished     26
begun     12
blossom     6
buds     1
bloomed     1
rebels     3
dying     6
everything     2
render     33
reckoned     21
fulness     25
winepress     14
pollute     11
directly     2
purification     8
gathereth     17
purify     14
purifieth     2
vines     12
vexed     21
passage     4
hor     12
strip     7
arad     5
discouraged     6
loatheth     2
fiery     20
bit     3
pole     2
bitten     2
oboth     4
ijeabarim     2
sunrising     10
zared     1
arnon     24
wars     15
brooks     15
stream     12
ar     6
beer     2
spring     22
direction     1
mattanah     2
nahaliel     2
bamoth     2
pisgah     5
jeshimon     6
sihon     37
jahaz     5
possessed     38
heshbon     38
proverbs     9
woe     106
undone     5
chemosh     7
captivity     125
dibon     9
nophah     1
reacheth     14
medeba     5
jaazer     2
bashan     58
og     22
edrei     8
jericho     58
balak     42
zippor     7
lick     5
licketh     1
balaam     60
pethor     2
blessest     3
cursest     1
rewards     5
divination     11
promote     5
riding     9
drawn     28
balaams     3
further     21
narrow     9
ridden     1
withstand     10
perverse     20
stoodest     3
earnestly     16
kirjathhuzoth     1
baal     39
parable     49
defy     5
defied     6
rocks     23
zophim     1
reverse     3
perverseness     6
unicorn     6
peor     4
abiding     9
falling     15
trance     5
valleys     28
gardens     12
lign     1
aloes     5
buckets     1
higher     20
agag     8
exalted     63
pierce     3
arrows     38
stir     20
balaks     1
advertise     2
star     15
sheth     2
valiantly     6
dwellingplace     3
puttest     6
nest     15
kenite     6
chittim     6
baalpeor     6
midianitish     3
weeping     44
javelin     7
zealous     8
israelite     4
zimri     14
salu     1
simeonites     3
cozbi     2
zur     5
wiles     2
peors     1
hanochites     1
palluites     1
hezronites     2
carmites     1
reubenites     15
nemuel     3
nemuelites     1
jaminites     1
jachinites     1
zarhites     6
shaulites     1
zephon     1
zephonites     1
haggites     1
shunites     1
ozni     1
oznites     1
erites     1
arod     1
arodites     1
arelites     1
shelanites     1
pharzites     1
hamulites     1
tolaites     1
pua     1
punites     1
jashub     3
jashubites     1
shimronites     1
sardites     1
elonites     1
jahleelites     1
zebulunites     1
machirites     1
gileadites     3
jeezer     1
jeezerites     1
helek     2
helekites     1
asriel     2
asrielites     1
shechemites     1
shemida     2
shemidaites     1
hepher     9
hepherites     1
zelophehad     11
mahlah     4
hoglah     4
tirzah     16
shuthelah     4
shuthalhites     1
bachrites     1
tahan     2
tahanites     1
eran     1
eranites     1
belaites     1
ashbelites     1
ahiram     1
ahiramites     1
shupham     1
shuphamites     1
hupham     1
huphamites     1
ardites     1
naamites     1
shuham     1
shuhamites     2
jimna     1
jimnites     1
jesui     1
jesuites     1
beriites     1
heberites     1
malchielites     1
jahzeelites     1
gunites     1
jezerites     1
shillemites     1
merarites     1
korathites     1
amrams     1
abarim     4
ordained     34
several     11
bond     19
disallow     1
bonds     26
disallowed     5
uttered     17
effect     14
husbands     25
proceeded     9
establisheth     3
confirmeth     3
warred     7
evi     2
rekem     5
reba     2
tin     5
abideth     30
levy     6
booty     3
pertained     16
lacketh     5
jazer     11
ataroth     5
nimrah     1
elealeh     5
shebam     1
nebo     13
beon     1
discourage     1
kadeshbarnea     10
kenezite     3
sinful     8
augment     1
sheepfolds     3
fenced     32
inherited     6
subdued     19
folds     5
aroer     15
atroth     1
shophan     1
jogbehah     2
bethnimrah     2
bethharan     1
kirjathaim     3
baalmeon     3
shibmah     1
dispossessed     2
jair     10
havothjair     2
nobah     3
kenath     2
goings     26
executed     20
daysjourney     1
dophkah     2
alush     2
rithmah     2
rimmonparez     2
libnah     14
rissah     2
kehelathah     2
shapher     2
haradah     2
makheloth     2
tahath     6
tarah     2
mithcah     2
hashmonah     2
moseroth     2
benejaakan     2
horhagidgad     2
jotbathah     2
ebronah     2
eziongaber     4
fortieth     4
zalmonah     2
punon     2
iim     2
dibongad     2
almondiblathaim     2
bethjesimoth     1
abelshittim     1
pictures     3
dispossess     2
fewer     1
pricks     3
ascent     4
akrabbim     2
hazaraddar     1
azmon     3
western     1
entrance     11
zedad     2
ziphron     1
hazarenan     4
shepham     2
riblah     7
ain     5
descend     10
chinnereth     4
shemuel     3
elidad     1
chislon     1
bukki     5
jogli     1
hanniel     1
shiphtan     1
parnach     1
paltiel     1
azzan     1
ahihud     2
shelomi     1
pedahel     1
outward     14
refuge     47
manslayer     2
inheriteth     1
slayer     19
avenger     9
instrument     8
murderer     19
throwing     1
weapon     8
revenger     7
hatred     18
hurl     1
laying     13
witnesses     49
testify     29
satisfaction     2
inhabit     10
whereunto     27
possesseth     2
tophel     1
dizahab     1
astaroth     1
lebanon     67
cumbrance     1
righteously     8
taller     1
anakims     9
trodden     27
encourage     4
chased     13
bees     3
meddle     5
lacked     11
elath     1
contend     14
emims     2
tall     4
accounted     12
horims     2
beforetime     10
succeeded     3
zered     3
ammonites     23
zamzummims     1
avims     1
hazerim     1
azzah     3
caphtorims     1
caphtor     3
tremble     29
kedemoth     4
obstinate     2
forbad     5
region     15
argob     4
unwalled     3
destroying     13
hermon     13
sidonians     5
sirion     2
shenir     2
salchah     1
bedstead     2
rabbath     2
gadites     13
geshuri     2
maachathi     1
bashanhavothjair     1
ashdothpisgah     3
kingdoms     55
passest     5
strengthen     32
bethpeor     4
taught     80
specially     6
learn     32
clouds     49
figure     7
flieth     4
consuming     3
prolong     14
tribulation     22
forsake     57
assayed     4
temptations     8
terrors     15
mightest     19
instruct     9
heardest     11
bezer     5
ramoth     8
golan     4
manassites     2
testimonies     34
sion     9
springs     16
prolonged     9
added     15
mightily     11
walkest     7
risest     2
buildedst     1
filledst     2
diggedst     1
plantedst     2
special     2
fewest     1
repayeth     1
slack     7
repay     8
pity     30
hornet     2
affrighted     9
destruction     94
snared     9
therin     1
detest     1
knewest     10
chasteneth     5
scarceness     1
scorpions     9
flint     5
destroyeth     8
uprightness     19
provokedst     1
rebellious     36
displeasure     5
stamped     7
stubbornness     2
beeroth     6
jaakan     1
mosera     1
gudgodah     2
jotbath     1
regardeth     15
chastisement     5
acts     43
overflow     13
sowedst     1
wateredst     1
careth     7
soles     7
tread     33
gerizim     4
champaign     1
gilgal     39
lusteth     6
roebuck     4
hart     9
vowest     2
livest     4
alike     11
succeedest     2
dwellest     18
wonder     15
proveth     1
belial     17
withdrawn     6
whit     5
fierceness     11
fallow     3
deer     1
pygarg     1
chamois     1
cleaveth     13
cleft     2
claws     3
cloven     2
glede     1
desireth     17
release     21
creditor     2
lendeth     4
exact     8
carefully     4
wide     15
need     49
wanteth     7
givest     12
needy     38
sendest     5
furnish     4
liberally     2
sacrificedst     1
beginnest     1
sickle     12
pervert     10
evilfavouredness     1
transgressing     2
enquired     34
plea     2
stroke     11
controversy     13
sentence     11
inform     1
copy     9
cheeks     5
maw     1
firstfruit     2
fleece     9
portions     16
patrimony     1
useth     7
observer     1
enchanter     1
charmer     1
consulter     1
necromancer     1
observers     1
diviners     7
desiredst     2
presume     2
fetcheth     1
axe     10
slippeth     3
helve     1
inasmuch     9
mortally     1
fleeth     9
guilt     2
landmark     4
diligent     15
inquisition     3
terrified     4
dedicated     22
dedicate     4
fainthearted     3
brethrens     1
tributaries     4
besiege     10
breatheth     1
forcing     2
employ     1
siege     17
bulwarks     5
rough     7
eared     1
heifers     1
tried     20
beheaded     7
pare     1
nails     10
merchandise     22
beloved     111
hers     3
acknowledge     17
stubborn     5
chastened     8
glutton     2
drunkard     5
accursed     20
chance     6
eggs     7
sitting     41
buildest     5
battlement     1
divers     37
seeds     6
plow     8
sorts     7
vesture     8
coverest     2
occasions     3
tokens     7
amerce     1
riseth     14
discover     12
skirt     12
wounded     34
privy     4
member     6
bastard     2
ammonite     9
moabite     3
prosperity     17
edomite     6
chanceth     1
paddle     1
ease     20
liketh     3
sodomite     1
settest     7
bill     7
divorcement     6
sendeth     15
cheer     10
millstone     9
stealing     2
cuttest     1
forgot     1
beatest     2
gatherest     1
stripes     17
exceed     4
vile     19
muzzle     3
treadeth     10
succeed     1
shoe     9
draweth     12
secrets     10
bag     11
lengthened     1
unrighteously     1
possessest     1
profess     3
populous     2
outstretched     3
terribleness     3
tithing     2
transgressed     33
avouched     2
craftsman     2
removeth     5
vexation     14
forsaken     75
fever     9
extreme     1
blasting     5
mildew     5
fray     3
botch     2
emerods     8
itch     1
madness     9
astonishment     21
grope     5
noonday     7
gropeth     1
oppressed     36
evermore     25
betroth     4
rescue     3
longing     3
mad     21
proverb     20
byword     6
low     46
hearkenedst     1
servedst     1
joyfulness     2
abundance     68
want     31
swift     20
trustedst     3
straitness     5
delicate     5
adventure     2
delicateness     1
tenderness     1
wonderful     21
continuance     5
sicknesses     4
failing     2
assurance     7
bondwomen     3
perceive     24
hewer     1
drawer     1
root     43
gall     14
wormwood     9
drunkenness     7
meaneth     8
rooted     8
indignation     40
revealed     38
persecuted     20
denounce     1
dismayed     30
solemnity     2
hearing     38
evils     9
troubles     12
rebellion     9
stiff     3
doctrine     51
drop     15
distil     2
showers     9
publish     17
ascribe     3
crooked     14
foolish     52
unwise     4
howling     6
instructed     18
apple     8
stirreth     8
fluttereth     1
flinty     1
jeshurun     3
kicked     1
forsook     23
esteemed     11
newly     2
unmindful     1
provoking     6
froward     21
faith     247
vanities     13
lowest     10
hell     54
foundations     32
mischiefs     3
spend     7
poison     9
suckling     3
behave     6
strangely     1
dragons     16
venom     1
asps     4
sealed     36
treasures     54
recompence     20
slide     3
calamity     19
trusted     28
protection     1
whet     4
glittering     6
revenges     1
hoshea     3
meribahkadesh     1
shined     9
saints     96
coucheth     1
ancient     25
lasting     1
unicorns     3
enlargeth     3
teareth     6
provided     9
seated     1
sky     7
eternal     47
liars     8
natural     13
courageous     5
withersoever     1
success     1
whithersoever     27
valour     35
commandest     3
view     2
harlots     10
rahab     10
shutting     1
stalks     1
fords     3
cord     6
town     13
pursuers     5
line     30
doors     70
magnify     19
brim     10
overfloweth     1
banks     5
zaretan     1
firm     7
lodging     6
flowed     3
knives     5
foreskins     5
circumcising     2
ascend     13
straight     28
blew     21
dawning     5
trouble     109
treasury     9
adjured     2
buildeth     9
noised     4
achan     6
zabdi     6
ai     36
bethaven     7
viewed     4
shebarim     1
environ     1
dissembled     3
confession     6
spoils     5
babylonish     1
wedge     3
coveted     3
achor     5
ambush     7
seize     4
liers     10
spear     45
issued     7
slaying     7
cursings     1
conversant     2
gibeon     37
wilily     1
ambassadors     8
bottles     19
clouted     1
mouldy     2
league     19
ashtaroth     11
chephirah     4
kirjathjearim     18
hewers     8
drawers     3
freed     2
adonizedec     2
jerusalem     748
hoham     1
piram     1
jarmuth     7
japhia     5
lachish     19
debir     14
eglon     13
bethhoron     14
azekah     7
makkedah     9
hailstones     5
ajalon     3
jasher     2
necks     17
caves     7
horam     1
gezer     13
jabin     7
hazor     18
madon     2
achshaph     3
chinneroth     2
dor     7
mizpeh     23
merom     2
hough     1
misrephothmaim     2
houghed     3
breathe     4
halak     2
baalgad     3
anab     2
gath     31
ashdod     21
divisions     17
bethjeshimoth     3
salcah     3
geshurites     5
maachathites     4
geder     1
adullam     8
tappuah     6
aphek     7
lasharon     1
shimronmeron     1
taanach     6
megiddo     8
kedesh     10
jokneam     4
carmel     23
sihor     3
ekron     18
gazathites     1
ashdothites     1
eshkalonites     1
gittites     2
ekronites     2
avites     1
mearah     1
giblites     1
expelled     4
bamothbaal     1
bethbaalmeon     1
jahaza     1
mephaath     4
sibmah     4
zarethshahar     1
soothsayer     1
rabbah     13
ramathmizpeh     1
betonim     1
betharam     1
zaphon     1
pertaining     8
distribute     5
distributed     6
espy     2
arba     3
bay     6
maalehacrabbim     1
adar     10
karkaa     1
bethhogla     1
betharabah     3
bohan     2
looking     30
adummim     2
enshemesh     2
enrogel     4
hinnom     12
nephtoah     2
baalah     5
jearim     1
chesalon     1
bethshemesh     19
shicron     1
jabneel     2
kirjathsepher     4
achsah     4
othniel     7
kabzeel     3
eder     3
jagur     1
kinah     1
dimonah     1
adadah     1
ithnan     1
ziph     10
telem     2
bealoth     1
hadattah     1
kerioth     3
amam     1
shema     6
moladah     4
hazargaddah     1
heshmon     1
bethpalet     1
hazarshual     4
bizjothjah     1
azem     2
eltolad     2
chesil     1
ziklag     15
madmannah     2
sansannah     1
lebaoth     1
shilhim     1
rimmon     11
eshtaol     7
zoreah     1
ashnah     2
zanoah     5
engannim     3
enam     1
socoh     2
sharaim     1
adithaim     1
gederah     1
gederothaim     1
zenan     1
hadashah     1
migdalgad     1
dilean     1
joktheel     1
bozkath     1
cabbon     1
lahmam     1
kithlish     1
gederoth     2
bethdagon     2
ether     2
ashan     4
jiphtah     1
nezib     1
keilah     18
achzib     4
mareshah     8
shamir     4
jattir     4
dannah     1
kirjathsannah     1
eshtemoh     1
anim     1
holon     3
giloh     2
arab     1
eshean     1
janum     1
bethtappuah     1
aphekah     1
humtah     1
zior     1
maon     7
juttah     2
jezreel     22
jokdeam     1
gibeah     48
halhul     1
bethzur     4
gedor     7
maarath     1
bethanoth     1
eltekon     1
kirjathbaal     2
middin     1
secacah     1
nibshan     1
engedi     6
archi     1
japhleti     1
atarothaddar     1
michmethah     2
taanathshiloh     1
janohah     2
naarath     1
kanah     3
ephraimites     5
abiezer     7
entappuah     1
belonged     11
outgoings     8
bethshean     6
ibleam     2
endor     3
describe     4
description     1
described     2
atarothadar     1
jebusi     2
geliloth     1
arabah     2
bethhoglah     2
keziz     1
zemaraim     2
avim     1
pharah     1
ophrah     8
chepharhaammonai     1
ophni     1
gaba     3
ramah     35
mozah     1
irpeel     1
taralah     1
zelah     2
eleph     1
gibeath     1
kirjath     1
balah     1
bethul     1
bethmarcaboth     2
hazarsusah     1
bethlebaoth     1
sharuhen     1
remmon     1
baalathbeer     1
ramath     1
sarid     2
maralah     1
dabbasheth     1
chislothtabor     1
daberath     2
gittahhepher     1
ittahkazin     1
remmonmethoar     1
neah     1
hannathon     1
jiphthahel     2
kattath     1
nahallal     1
idalah     1
chesulloth     1
shunem     2
haphraim     1
shihon     1
anaharath     1
rabbith     1
kishion     1
abez     1
remeth     1
enhaddah     1
bethpazzez     1
tabor     10
shahazimah     1
helkath     2
hali     1
beten     1
alammelech     1
amad     1
misheal     1
shihorlibnath     1
bethemek     1
neiel     1
cabul     2
hammon     2
tyre     37
hosah     5
ummah     1
heleph     1
allon     2
zaanannim     1
adami     1
nekeb     1
lakum     1
aznothtabor     1
hukkok     1
ziddim     1
zer     1
hammath     1
rakkath     1
adamah     1
enhazor     1
migdalel     1
horem     1
bethanath     3
zorah     8
irshemesh     1
shaalabbin     1
jethlah     1
thimnathah     1
eltekeh     2
gibbethon     6
baalath     3
jehud     1
beneberak     1
gathrimmon     4
mejarkon     1
rakkon     1
japho     1
leshem     2
dividing     7
timnathserah     2
inheritances     1
galilee     71
mentioned     7
eshtemoa     5
geba     11
anathoth     16
almon     1
kibzaim     1
aijalon     7
tanach     1
beeshterah     1
kishon     6
dabareh     1
mishal     1
abdon     8
hammothdor     1
kartan     1
kartah     1
dimnah     1
nahalal     1
jahazah     2
building     37
rather     61
fearing     8
intend     4
ed     1
expel     2
therefrom     1
certainty     7
snares     15
traps     1
scourges     1
nachor     2
oliveyards     4
sincerity     7
incline     16
deny     24
gaash     4
overlived     1
bezek     3
adonibezek     3
requited     2
calebs     4
zephath     1
askelon     3
descry     1
kitron     1
nahalol     1
accho     1
ahlab     1
helbah     1
aphik     1
asherites     1
forced     7
heres     1
shaalbim     2
bochim     2
throw     8
outlived     1
timnathheres     1
baalim     18
spoilers     6
obeying     3
groanings     3
driving     2
baalhermon     2
chushanrishathaim     4
deliverer     10
ehud     10
benjamite     8
lefthanded     2
dagger     3
quarries     2
silence     35
parlour     5
message     7
haft     1
blade     5
dirt     3
porch     39
locked     2
key     6
seirath     1
lusty     1
shamgar     2
anath     2
goad     1
sisera     21
harosheth     3
lapidoth     1
barak     14
abinoam     4
kedeshnaphtali     1
jabins     1
zaanaim     1
howbeit     55
jael     6
mantle     10
thirsty     17
hebers     1
nail     8
hammer     7
temples     9
asleep     16
avenging     3
marchedst     1
dropped     7
highways     10
unoccupied     1
travellers     1
byways     1
governors     23
drawing     2
awake     42
pen     7
writer     2
abodest     1
bleatings     1
searchings     1
breaches     8
jeoparded     1
gain     30
courses     18
swept     4
horsehoofs     1
pransings     2
meroz     1
bitterly     9
lordly     1
dish     3
workmens     1
pierced     8
lattice     2
ladies     2
sped     1
dens     9
sustenance     3
impoverished     3
joash     31
abiezrite     1
gideon     39
threshed     3
talkest     3
broth     3
jehovahshalom     1
abiezrites     2
ordered     4
plead     39
whilst     10
jerubbaal     14
wool     13
wringed     1
harod     1
vaunt     1
try     17
lappeth     2
boweth     3
lapped     2
retained     6
phurah     2
outside     8
tumbled     1
overturned     1
telling     2
companies     16
pitchers     5
bethshittah     1
zererath     1
abelmeholah     3
tabbath     1
bethbarah     2
oreb     7
zeeb     6
calledst     4
sharply     2
comparison     4
pursuing     8
zebah     12
zalmunna     12
tear     13
briers     12
karkor     1
secure     7
upbraid     2
resembled     1
jether     8
request     19
ishmaelites     2
requested     5
collars     1
quietness     10
baalberith     2
inclined     13
jotham     17
millo     9
promoted     5
sweetness     5
cheereth     1
bramble     4
trust     129
cedars     24
sincerely     3
deserving     1
adventured     1
treacherously     23
aided     1
killing     5
robbed     13
gaal     9
ebed     6
confidence     37
trode     4
zebul     6
privily     15
fortify     6
meonenim     1
arumah     1
rushed     3
berith     1
zalmon     2
thebez     3
skull     4
armourbearer     18
rendered     3
defend     9
dodo     5
gileadite     9
camon     1
syria     45
zidonians     9
maonites     1
misery     7
jephthah     29
gileads     1
tob     2
recover     12
minnith     2
fellows     14
companions     22
bewailed     3
lament     21
passedst     1
fugitives     3
passages     5
ephraimite     1
shibboleth     1
sibboleth     1
frame     5
ibzan     2
zebulonite     2
hillel     2
pirathonite     5
nephews     2
pirathon     1
danites     4
manoah     18
bearest     5
spakest     10
detain     2
askest     3
wonderously     1
samson     36
roared     5
riddle     9
sheets     2
eater     3
expound     1
samsons     3
lasted     1
sweeter     3
plowed     5
ashkelon     9
expounded     6
fairer     3
foxes     8
firebrands     3
firebrand     2
tails     6
brands     1
shocks     1
olives     15
timnite     1
hip     1
etam     5
lehi     3
jawbone     3
jaw     4
ramathlehi     1
athirst     5
enhakkore     1
gazites     1
quiet     30
sorek     1
delilah     6
withs     3
tow     3
lies     51
ropes     6
weavest     1
web     4
pin     3
beam     13
shake     39
fetters     10
grind     7
dagon     12
praised     26
sport     6
micah     28
cursedst     2
founder     5
teraphim     6
bethlehemjudah     10
suit     3
apparel     28
makest     26
dealeth     10
laish     7
careless     5
magistrate     2
slothful     15
mahanehdan     1
thitherward     3
saluted     8
micahs     3
carved     13
carriage     3
lose     24
bethrehob     2
jonathan     118
friendly     3
afternoon     1
jebus     4
benjamites     8
wayfaring     6
passing     12
receiveth     37
howsoever     4
wants     2
beset     6
abused     1
threshold     14
advice     9
minds     15
lewdness     17
knit     6
sling     8
miss     2
array     34
encouraged     5
fasted     15
baaltamar     1
meadows     1
retired     2
gleaned     6
gidom     1
voices     17
jabeshgilead     12
valiantest     1
sufficed     3
highway     15
lebonah     1
dance     8
complain     4
favourable     4
danced     6
repaired     42
elimelech     4
naomi     20
mahlon     3
chilion     2
ephrathites     1
naomis     1
orpah     2
ruth     13
hope     129
grieveth     2
lodgest     1
diest     1
stedfastly     9
minded     15
mara     1
moabitess     6
boaz     24
reapers     8
hap     1
moabitish     1
hearest     11
mealtime     1
purpose     36
wroughtest     1
kinsmen     7
winnoweth     1
followedst     1
requirest     1
virtuous     3
nearer     2
kinsmans     1
measured     46
ho     4
elimelechs     2
redeeming     3
changing     1
confirm     12
chilions     1
mahlons     1
worthily     1
ephratah     5
restorer     2
nourisher     1
obed     13
jesse     47
david     996
salmon     6
ramathaimzophim     1
jeroham     10
elihu     11
tohu     1
zuph     3
ephrathite     3
hannah     13
peninnah     3
eli     34
hophni     5
weepest     3
temple     196
bitterness     22
praying     20
marked     6
sorrowful     18
complaint     7
petition     13
samuel     142
rejoiceth     18
enlarged     11
arrogancy     4
actions     1
bows     14
stumbled     6
hungry     29
lifteth     10
raiseth     8
beggar     3
dunghill     7
world     287
silent     9
seething     3
fleshhook     2
struck     7
kettle     1
caldron     6
presently     5
loan     1
dealings     2
kick     3
honourest     1
chiefest     8
grieve     5
crouch     1
offices     5
tingle     2
elis     1
purged     14
ebenezer     3
rang     2
wayside     2
watching     6
crying     31
tumult     15
pains     4
ichabod     1
palms     6
stump     4
dagons     1
deadly     7
mice     4
lighten     7
wonderfully     4
cart     15
tie     2
calves     16
coffer     3
happened     12
lowing     2
reaping     3
bethshemite     2
lamented     11
abinadab     13
thundered     4
bethcar     1
shen     1
circuit     3
joel     20
abiah     4
lucre     5
bribes     3
perverted     5
rejected     27
confectionaries     1
cooks     1
goodliest     2
battles     6
rehearsed     4
kish     21
abiel     3
zeror     1
bechorath     1
aphiah     1
goodlier     1
sauls     31
shalisha     1
shalim     1
caring     1
seer     21
straightway     42
bidden     14
seers     6
ago     12
smallest     2
speakest     16
cook     2
invited     3
vial     8
zelzah     1
care     19
sorroweth     1
carrying     8
salute     36
garrison     13
psaltery     13
pipe     4
prophesying     6
adversities     2
tribulations     4
matri     1
presents     9
nahash     9
jabesh     9
condition     1
renew     6
grayheaded     2
childhood     2
defrauded     4
bribe     2
advanced     4
bedan     2
safe     13
reigneth     13
asking     7
ceasing     7
michmash     9
strait     9
